order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,year_month,delivery_days,is_returned,net_sales
O100023,C12391,P214437,Fashion,176.45,0,1,Debit Card,16-05-2025,23-05-2025,South,No,,,176.45,6.67,55.09,34,Male,2025-05,7,0,176.45
O100024,C15611,P247930,Sports,345.57,0.15,2,Debit Card,16-04-2024,21-04-2024,Central,No,,,587.47,9.48,166.76,32,Female,2024-04,5,0,587.47
O100025,C17581,P214512,Beauty,12.49,0,3,UPI,31-08-2024,07-09-2024,East,No,,,37.47,5.46,11.4,49,Female,2024-08,7,0,37.47
O100026,C16949,P232436,Sports,157.21,0.15,1,Debit Card,26-08-2025,31-08-2025,South,No,,,133.63,6.75,33.34,20,Female,2025-08,5,0,133.63
O100027,C12433,P223511,Fashion,11.24,0,2,Debit Card,19-08-2025,23-08-2025,West,No,,,22.48,6.09,1.78,60,Female,2025-08,4,0,22.48
O100028,C15311,P205022,Grocery,20.97,0,2,PayPal,27-05-2024,02-06-2024,South,No,,,41.94,4.61,-1.25,61,Female,2024-05,6,0,41.94
O100029,C15051,P243239,Home,54.42,0,2,UPI,11-10-2023,17-10-2023,East,No,,,108.84,8.05,22.43,36,Female,2023-10,6,0,108.84
O100030,C16420,P206155,Home,54.93,0.15,1,Credit Card,12-11-2023,18-11-2023,South,No,,,46.69,5.74,7.33,44,Male,2023-11,6,0,46.69
O100031,C11184,P231480,Grocery,10.32,0.15,1,Debit Card,08-04-2024,15-04-2024,East,No,,,8.77,1.24,-0.54,32,Male,2024-04,7,0,8.77
O100032,C14555,P238022,Grocery,7.56,0,1,Credit Card,30-12-2023,04-01-2024,North,No,,,7.56,2.06,-1.46,61,Female,2023-12,5,0,7.56
O100033,C13385,P225332,Sports,22.33,0.05,1,Credit Card,06-08-2024,10-08-2024,South,No,,,21.21,4.26,2.1,26,Male,2024-08,4,0,21.21
O100034,C14117,P204354,Grocery,12.84,0,2,Debit Card,08-08-2024,11-08-2024,North,No,,,25.68,6.32,-4.27,21,Female,2024-08,3,0,25.68
O100035,C16396,P231847,Beauty,8.89,0,2,Credit Card,04-04-2024,08-04-2024,South,No,,,17.78,4.78,3.22,19,Female,2024-04,4,0,17.78
O100036,C14843,P235284,Fashion,33.9,0,2,Debit Card,27-05-2025,01-06-2025,South,No,,,67.8,4.98,18.75,28,Female,2025-05,5,0,67.8
O100037,C12904,P248640,Fashion,17.92,0,1,Credit Card,10-07-2024,15-07-2024,West,No,,,17.92,5.86,0.41,28,Male,2024-07,5,0,17.92
O100038,C17728,P210156,Beauty,50.75,0,2,Credit Card,13-02-2025,20-02-2025,West,No,,,101.5,6.46,39.22,46,Female,2025-02,7,0,101.5
O100039,C10474,P222453,Beauty,13.11,0.15,1,Credit Card,17-08-2024,23-08-2024,West,No,,,11.14,4.4,0.61,51,Female,2024-08,6,0,11.14
O100040,C11082,P232689,Home,297.65,0.1,1,UPI,09-12-2023,13-12-2023,South,No,,,267.88,7.49,67.52,20,Female,2023-12,4,0,267.88
O100041,C12558,P223758,Grocery,6.2,0,1,COD,31-03-2024,04-04-2024,West,No,,,6.2,2.5,-2,35,Male,2024-03,4,0,6.2
O100042,C17849,P208838,Home,36.05,0,2,COD,03-02-2025,07-02-2025,North,No,,,72.1,7.24,12.95,36,Female,2025-02,4,0,72.1
O100043,C12047,P245502,Fashion,47.26,0.15,1,UPI,31-10-2023,05-11-2023,South,No,,,40.17,4.94,9.12,48,Male,2023-10,5,0,40.17
O100044,C17643,P243790,Electronics,313.25,0,1,Debit Card,27-09-2024,05-10-2024,Central,No,,,313.25,8.96,28.63,53,Male,2024-09,8,0,313.25
O100045,C12747,P237976,Grocery,13.7,0.1,3,COD,11-04-2025,15-04-2025,West,No,,,36.99,4.09,-1.13,62,Male,2025-04,4,0,36.99
O100046,C10975,P249346,Toys,9.07,0,3,Debit Card,11-01-2024,16-01-2024,South,No,,,27.21,6.05,4.83,30,Female,2024-01,5,0,27.21
O100047,C11806,P213725,Beauty,12.45,0,2,Credit Card,03-05-2025,08-05-2025,West,No,,,24.9,5.18,6.02,58,Male,2025-05,5,0,24.9
O100048,C10189,P209337,Toys,7.33,0,1,Credit Card,19-03-2025,24-03-2025,North,No,,,7.33,3.86,-0.93,55,Female,2025-03,5,0,7.33
O100049,C17101,P210701,Toys,53.85,0.05,1,Credit Card,12-03-2025,17-03-2025,South,No,,,51.16,5.96,14.5,35,Female,2025-03,5,0,51.16
O100050,C12734,P229811,Grocery,16.12,0,1,COD,14-07-2025,22-07-2025,East,No,,,16.12,4.76,-3.47,66,Female,2025-07,8,0,16.12
O100051,C13005,P243043,Home,195.87,0,4,Credit Card,31-12-2024,05-01-2025,West,No,,,783.48,10.37,209,43,Female,2024-12,5,0,783.48
O100052,C14658,P238978,Beauty,8.29,0,1,PayPal,16-09-2024,20-09-2024,North,No,,,8.29,2.98,0.75,67,Male,2024-09,4,0,8.29
O100053,C11899,P229316,Electronics,402.13,0,2,PayPal,24-01-2024,29-01-2024,South,No,,,804.26,9.93,86.58,40,Female,2024-01,5,0,804.26
O100054,C17734,P211544,Grocery,19.94,0.05,1,Debit Card,29-12-2023,04-01-2024,East,No,,,18.94,4.96,-3.44,55,Female,2023-12,6,0,18.94
O100055,C11267,P221514,Grocery,6.52,0,2,Debit Card,23-11-2023,28-11-2023,South,No,,,13.04,4.73,-3.69,60,Male,2023-11,5,0,13.04
O100056,C16975,P216327,Toys,5.38,0.1,1,COD,18-12-2023,21-12-2023,Central,No,,,4.84,3.91,-1.97,57,Female,2023-12,3,0,4.84
O100057,C11528,P246809,Home,167.21,0,4,Wallet,06-12-2023,09-12-2023,North,No,,,668.84,8.88,178.4,37,Female,2023-12,3,0,668.84
O100058,C13202,P216705,Home,134.37,0.15,1,Wallet,30-10-2024,02-11-2024,Central,No,,,114.21,6.65,25.33,53,Male,2024-10,3,0,114.21
O100059,C13556,P210479,Home,122.85,0,3,COD,16-08-2024,20-08-2024,North,No,,,368.55,7.27,95.92,69,Female,2024-08,4,0,368.55
O100060,C13890,P211323,Fashion,14.91,0,1,UPI,01-12-2024,06-12-2024,West,No,,,14.91,4.93,0.29,69,Male,2024-12,5,0,14.91
O100061,C10646,P212937,Beauty,10.46,0,1,Credit Card,13-11-2023,17-11-2023,North,No,,,10.46,3.14,1.57,25,Other,2023-11,4,0,10.46
O100062,C16164,P223089,Electronics,368.67,0,1,Debit Card,26-06-2024,02-07-2024,West,No,,,368.67,9.91,34.33,36,Male,2024-06,6,0,368.67
O100063,C12888,P201702,Grocery,13.52,0.1,1,Debit Card,24-06-2025,29-06-2025,West,No,,,12.17,2.07,-1.1,22,Female,2025-06,5,0,12.17
O100064,C16310,P210404,Home,116.53,0.05,1,Credit Card,22-01-2024,26-01-2024,West,No,,,110.7,6.97,24.03,59,Male,2024-01,4,0,110.7
O100065,C15393,P233598,Grocery,20.24,0,1,COD,23-06-2025,28-06-2025,North,No,,,20.24,4.74,-3.12,65,Male,2025-06,5,0,20.24
O100066,C12435,P208380,Sports,175.75,0.15,1,Debit Card,03-09-2025,08-09-2025,West,No,,,149.39,6.15,38.67,58,Female,2025-09,5,0,149.39
O100067,C10600,P221990,Fashion,20.91,0,1,UPI,14-02-2024,18-02-2024,North,Yes,15-03-2024,No longer needed,20.91,4.04,3.28,50,Male,2024-02,4,1,0
O100068,C12363,P232859,Fashion,13.43,0,4,PayPal,15-12-2023,19-12-2023,South,No,,,53.72,6.26,12.54,30,Male,2023-12,4,0,53.72
O100069,C12061,P203877,Grocery,3.96,0.2,1,PayPal,22-11-2023,27-11-2023,East,No,,,3.17,3.06,-2.81,44,Female,2023-11,5,0,3.17
O100070,C10241,P242871,Toys,8.5,0,2,Debit Card,30-05-2024,07-06-2024,South,No,,,17,3.51,3.29,25,Female,2024-05,8,0,17
O100071,C12041,P218720,Fashion,150.12,0,3,Debit Card,18-10-2024,22-10-2024,West,No,,,450.36,8.26,149.37,28,Female,2024-10,4,0,450.36
O100072,C12824,P207676,Electronics,97.95,0.1,1,Debit Card,21-09-2024,27-09-2024,East,No,,,88.16,6.72,3.86,53,Male,2024-09,6,0,88.16
O100073,C17513,P231818,Sports,217.48,0,1,Credit Card,24-02-2025,02-03-2025,South,No,,,217.48,7.67,57.57,24,Male,2025-02,6,0,217.48
O100074,C12612,P234348,Fashion,16.18,0,2,Credit Card,06-12-2024,10-12-2024,South,No,,,32.36,4.73,6.6,69,Male,2024-12,4,0,32.36
O100075,C17041,P248555,Fashion,26.06,0.05,3,COD,21-12-2023,26-12-2023,West,No,,,74.27,6.24,19.75,46,Other,2023-12,5,0,74.27
O100076,C11363,P242368,Sports,23.23,0.3,2,Credit Card,13-02-2025,17-02-2025,Central,No,,,32.52,5.1,4.66,31,Male,2025-02,4,0,32.52
O100077,C16235,P248180,Sports,20.73,0,2,COD,14-05-2024,19-05-2024,West,No,,,41.46,4.31,8.13,20,Female,2024-05,5,0,41.46
O100078,C15486,P224130,Home,23.16,0,1,UPI,20-12-2023,23-12-2023,Central,No,,,23.16,4.81,1.67,45,Male,2023-12,3,0,23.16
O100079,C17099,P233241,Grocery,6.53,0,4,Credit Card,28-06-2024,01-07-2024,North,No,,,26.12,6.21,-4.12,68,Male,2024-06,3,0,26.12
O100080,C11478,P244392,Sports,82.93,0.05,1,Wallet,13-03-2024,17-03-2024,West,No,,,78.78,8.3,15.33,59,Female,2024-03,4,0,78.78
O100081,C17595,P249421,Grocery,3.95,0,1,Wallet,23-01-2025,27-01-2025,West,No,,,3.95,2.63,-2.31,38,Female,2025-01,4,0,3.95
O100082,C12556,P226620,Fashion,137.66,0,1,UPI,20-04-2025,24-04-2025,South,No,,,137.66,7.01,41.17,50,Female,2025-04,4,0,137.66
O100083,C10775,P217077,Fashion,48.41,0.1,4,Credit Card,23-09-2023,29-09-2023,West,No,,,174.28,8.27,52.73,29,Female,2023-09,6,0,174.28
O100084,C14014,P212663,Electronics,753.1,0.05,1,Debit Card,08-06-2024,12-06-2024,South,No,,,715.44,10.44,75.41,28,Male,2024-06,4,0,715.44
O100085,C10034,P217799,Fashion,12.92,0,3,Wallet,04-08-2025,08-08-2025,South,No,,,38.76,6.83,6.74,20,Female,2025-08,4,0,38.76
O100086,C16349,P247285,Grocery,3.04,0,1,Debit Card,12-06-2024,16-06-2024,South,No,,,3.04,1.93,-1.69,59,Female,2024-06,4,0,3.04
O100087,C13152,P217619,Grocery,25.7,0.1,4,Credit Card,18-06-2024,21-06-2024,North,No,,,92.52,9.09,-1.69,32,Male,2024-06,3,0,92.52
O100088,C11955,P203967,Toys,18.51,0.05,1,PayPal,20-12-2023,25-12-2023,South,No,,,17.58,3.71,3.32,62,Female,2023-12,5,0,17.58
O100089,C11585,P227488,Beauty,71.36,0.15,1,Debit Card,05-07-2024,12-07-2024,South,No,,,60.66,5.34,21.96,34,Male,2024-07,7,0,60.66
O100090,C13943,P213211,Toys,5.12,0,1,UPI,09-02-2025,15-02-2025,West,No,,,5.12,1.8,0.25,59,Female,2025-02,6,0,5.12
O100091,C17555,P221169,Beauty,3.65,0,1,UPI,08-07-2024,12-07-2024,South,No,,,3.65,1.97,-0.33,54,Female,2024-07,4,0,3.65
O100092,C13073,P230373,Electronics,857.18,0,3,COD,10-08-2024,14-08-2024,West,No,,,2571.54,12.41,296.17,61,Female,2024-08,4,0,2571.54
O100093,C11021,P232669,Home,168.01,0.05,2,Debit Card,20-01-2024,26-01-2024,East,No,,,319.22,7.51,81.87,57,Male,2024-01,6,0,319.22
O100094,C13461,P206634,Beauty,43.33,0,3,Debit Card,02-07-2025,06-07-2025,Central,No,,,129.99,6.28,52.22,53,Female,2025-07,4,0,129.99
O100095,C12613,P200840,Fashion,22.26,0,1,Wallet,22-02-2025,01-03-2025,East,No,,,22.26,3.96,3.83,27,Male,2025-02,7,0,22.26
O100096,C15225,P234229,Fashion,5.15,0.05,1,Credit Card,12-09-2023,17-09-2023,East,No,,,4.89,3.77,-2.06,36,Male,2023-09,5,0,4.89
O100097,C13843,P221318,Fashion,37.42,0.1,5,COD,26-09-2024,29-09-2024,Central,No,,,168.39,8.25,50.69,29,Male,2024-09,3,0,168.39
O100098,C17989,P215405,Beauty,115.85,0.15,1,Debit Card,02-05-2025,07-05-2025,West,No,,,98.47,6.58,37.73,40,Female,2025-05,5,0,98.47
O100099,C11500,P247771,Electronics,823.81,0,1,COD,08-05-2025,12-05-2025,South,No,,,823.81,8.88,89.98,32,Female,2025-05,4,0,823.81
O100100,C14798,P236240,Sports,17.35,0.1,1,Debit Card,25-02-2025,02-03-2025,West,Yes,12-03-2025,Not as described,15.62,4.69,0,41,Male,2025-02,5,1,0
O100101,C16545,P215847,Home,37.39,0.2,1,Credit Card,04-02-2025,09-02-2025,North,No,,,29.91,3.68,4.69,49,Male,2025-02,5,0,29.91
O100102,C16873,P223547,Fashion,23.33,0,5,Credit Card,02-05-2025,07-05-2025,Central,No,,,116.65,7.12,33.71,38,Male,2025-05,5,0,116.65
O100103,C15675,P206575,Toys,36.89,0.15,1,Credit Card,29-11-2024,05-12-2024,East,No,,,31.36,3.99,8.55,47,Female,2024-11,6,0,31.36
O100104,C10161,P230123,Home,239.28,0.2,1,Credit Card,14-11-2024,18-11-2024,South,No,,,191.42,8.6,45,69,Male,2024-11,4,0,191.42
O100105,C14297,P204843,Home,36.94,0,1,COD,23-10-2023,30-10-2023,South,No,,,36.94,5.01,5.33,49,Male,2023-10,7,0,36.94
O100106,C11981,P227451,Toys,16.98,0,2,Credit Card,21-11-2024,25-11-2024,North,No,,,33.96,4.16,9.42,19,Male,2024-11,4,0,33.96
O100107,C10995,P207739,Home,101.74,0,2,Wallet,08-06-2024,14-06-2024,East,No,,,203.48,7.89,49.08,54,Female,2024-06,6,0,203.48
O100108,C16413,P214852,Toys,12.52,0.2,1,Credit Card,11-07-2024,14-07-2024,North,No,,,10.02,2.22,1.79,51,Male,2024-07,3,0,10.02
O100109,C14911,P249092,Home,111.08,0,1,Debit Card,06-08-2024,11-08-2024,North,No,,,111.08,7.66,23.44,39,Male,2024-08,5,0,111.08
O100110,C13342,P209157,Fashion,22.03,0.05,3,COD,23-12-2023,31-12-2023,East,No,,,62.79,5.86,16.12,50,Female,2023-12,8,0,62.79
O100111,C14551,P222406,Beauty,21.58,0.05,3,UPI,04-12-2023,07-12-2023,North,No,,,61.5,5.64,22.04,60,Male,2023-12,3,0,61.5
O100112,C17629,P247284,Fashion,61.89,0.05,1,COD,21-01-2025,25-01-2025,South,No,,,58.8,7.65,12.93,28,Male,2025-01,4,0,58.8
O100113,C13798,P245200,Electronics,70.98,0,2,UPI,08-08-2025,12-08-2025,West,No,,,141.96,6.85,10.19,46,Female,2025-08,4,0,141.96
O100114,C11275,P207432,Electronics,1161.68,0,1,Credit Card,29-10-2024,02-11-2024,South,No,,,1161.68,7.91,131.49,69,Female,2024-10,4,0,1161.68
O100115,C11016,P218837,Fashion,13.88,0,1,Debit Card,07-05-2025,11-05-2025,South,No,,,13.88,5.31,-0.45,63,Male,2025-05,4,0,13.88
O100116,C17869,P215148,Sports,53.93,0,1,Debit Card,03-06-2025,08-06-2025,North,No,,,53.93,5.21,10.97,57,Female,2025-06,5,0,53.93
O100117,C16439,P211194,Toys,14.51,0,1,Credit Card,04-08-2025,09-08-2025,East,No,,,14.51,4.15,1.65,48,Male,2025-08,5,0,14.51
O100118,C17892,P232591,Toys,2.82,0.2,3,Credit Card,06-05-2025,11-05-2025,West,No,,,6.77,3.43,-0.72,24,Other,2025-05,5,0,6.77
O100119,C16863,P214819,Fashion,44.08,0.05,4,Wallet,12-11-2023,20-11-2023,Central,No,,,167.5,7.43,51.19,36,Female,2023-11,8,0,167.5
O100120,C17916,P206625,Sports,210.6,0.1,1,Credit Card,15-09-2023,19-09-2023,South,No,,,189.54,9.21,47.65,66,Female,2023-09,4,0,189.54
O100121,C10337,P207404,Fashion,118.71,0,1,COD,04-02-2025,07-02-2025,North,No,,,118.71,6.57,34.98,61,Female,2025-02,3,0,118.71
O100122,C10878,P214674,Beauty,12.67,0,2,PayPal,20-01-2025,26-01-2025,South,No,,,25.34,3.95,7.45,42,Male,2025-01,6,0,25.34
O100123,C11076,P210507,Grocery,11.77,0.2,1,COD,06-04-2025,13-04-2025,East,No,,,9.42,1,-0.25,48,Female,2025-04,7,0,9.42
O100124,C14887,P220387,Electronics,537.39,0.15,1,PayPal,16-02-2024,20-02-2024,Central,Yes,19-03-2024,Missing/Wrong item,456.78,9.4,45.41,28,Female,2024-02,4,1,0
O100125,C13993,P218697,Grocery,4.84,0,1,COD,18-11-2023,24-11-2023,South,No,,,4.84,1.46,-1.07,33,Female,2023-11,6,0,4.84
O100126,C16360,P237391,Toys,16.78,0,2,Credit Card,02-10-2024,06-10-2024,South,Yes,15-10-2024,Defective,33.56,5.18,8.24,34,Female,2024-10,4,1,0
O100127,C14859,P219547,Toys,10.98,0,1,Debit Card,30-01-2025,04-02-2025,South,No,,,10.98,1.74,2.65,23,Female,2025-01,5,0,10.98
O100128,C16331,P223570,Sports,56.72,0,2,COD,26-02-2024,03-03-2024,East,No,,,113.44,8.53,25.5,38,Male,2024-02,6,0,113.44
O100129,C10379,P239783,Toys,3.94,0.05,1,Credit Card,09-06-2025,14-06-2025,Central,No,,,3.74,1.52,-0.02,62,Male,2025-06,5,0,3.74
O100130,C10492,P228037,Grocery,7.88,0.2,1,Credit Card,12-02-2025,19-02-2025,South,No,,,6.3,2.16,-1.66,27,Female,2025-02,7,0,6.3
O100131,C17208,P230083,Toys,5.45,0,3,Wallet,02-09-2025,06-09-2025,South,No,,,16.35,4.57,1.97,25,Female,2025-09,4,0,16.35
O100132,C15276,P248029,Fashion,22.63,0.1,1,Credit Card,06-06-2024,13-06-2024,East,No,,,20.37,3.95,3.18,65,Male,2024-06,7,0,20.37
O100133,C12062,P240550,Beauty,12.82,0,1,Credit Card,16-04-2024,20-04-2024,Central,No,,,12.82,3.74,2.03,18,Male,2024-04,4,0,12.82
O100134,C13884,P237982,Fashion,32.69,0.15,1,UPI,16-07-2024,22-07-2024,South,No,,,27.79,7.19,2.54,21,Male,2024-07,6,0,27.79
O100135,C10064,P239706,Grocery,33.76,0,2,UPI,26-07-2024,01-08-2024,South,No,,,67.52,5.44,-0.04,41,Female,2024-07,6,0,67.52
O100136,C12568,P202988,Grocery,14.13,0,2,COD,13-05-2025,18-05-2025,Central,No,,,28.26,5.99,-3.73,58,Female,2025-05,5,0,28.26
O100137,C15463,P205156,Beauty,92.86,0,1,Credit Card,03-04-2025,08-04-2025,South,No,,,92.86,7.23,34.56,51,Female,2025-04,5,0,92.86
O100138,C15248,P238280,Toys,19.57,0.05,1,PayPal,06-08-2024,12-08-2024,South,No,,,18.59,5.17,2.27,40,Male,2024-08,6,0,18.59
O100139,C12027,P209788,Grocery,22.56,0.05,1,Debit Card,21-11-2023,24-11-2023,North,No,,,21.43,5.71,-4,43,Female,2023-11,3,0,21.43
O100140,C12695,P214185,Fashion,93.34,0.05,2,UPI,05-03-2024,10-03-2024,Central,No,,,177.35,6.54,55.53,46,Female,2024-03,5,0,177.35
O100141,C11495,P218734,Beauty,35.91,0.1,1,Debit Card,19-12-2023,24-12-2023,North,No,,,32.32,5.16,9.38,49,Female,2023-12,5,0,32.32
O100142,C17230,P209971,Home,155.94,0,1,PayPal,27-09-2023,01-10-2023,Central,No,,,155.94,7.4,36.26,43,Female,2023-09,4,0,155.94
O100143,C15258,P243408,Toys,12.64,0.1,2,PayPal,13-02-2025,20-02-2025,North,No,,,22.75,4.33,4.77,52,Female,2025-02,7,0,22.75
O100144,C15618,P206487,Home,120.29,0,1,COD,24-02-2024,29-02-2024,West,No,,,120.29,7.36,26.32,31,Male,2024-02,5,0,120.29
O100145,C16736,P220997,Sports,31.17,0.1,1,COD,06-06-2024,10-06-2024,West,No,,,28.05,6.92,1.49,38,Female,2024-06,4,0,28.05
O100146,C10391,P246456,Home,136.79,0.1,1,Credit Card,11-12-2023,15-12-2023,West,No,,,123.11,6.32,28.15,37,Female,2023-12,4,0,123.11
O100147,C15794,P212452,Electronics,284.7,0,1,Wallet,16-10-2024,22-10-2024,North,No,,,284.7,9.1,25.06,50,Female,2024-10,6,0,284.7
O100148,C14514,P215372,Electronics,580.17,0,2,Debit Card,20-02-2025,24-02-2025,West,No,,,1160.34,9.05,130.19,36,Female,2025-02,4,0,1160.34
O100149,C16432,P244767,Electronics,806.71,0,4,UPI,19-12-2023,25-12-2023,East,No,,,3226.84,11.85,375.37,19,Female,2023-12,6,0,3226.84
O100150,C14474,P213434,Electronics,96.31,0,4,UPI,04-12-2024,11-12-2024,East,No,,,385.24,9.61,36.62,38,Female,2024-12,7,0,385.24
O100151,C15892,P212416,Beauty,31.77,0,5,COD,11-07-2025,16-07-2025,South,No,,,158.85,7.94,63.54,19,Female,2025-07,5,0,158.85
O100152,C13561,P219248,Sports,304.67,0,2,UPI,05-07-2025,10-07-2025,South,No,,,609.34,9.29,173.51,58,Female,2025-07,5,0,609.34
O100153,C12278,P246713,Electronics,862.36,0,1,PayPal,02-01-2024,05-01-2024,North,No,,,862.36,10.06,93.42,31,Female,2024-01,3,0,862.36
O100154,C17161,P228194,Beauty,47.06,0.05,1,Debit Card,17-03-2024,20-03-2024,Central,No,,,44.71,5.76,14.36,24,Male,2024-03,3,0,44.71
O100155,C16184,P233785,Beauty,4.21,0,1,COD,04-12-2024,07-12-2024,North,No,,,4.21,2.28,-0.39,25,Female,2024-12,3,0,4.21
O100156,C13099,P237458,Electronics,144.57,0,2,Debit Card,14-11-2024,17-11-2024,North,No,,,289.14,8.7,26,63,Male,2024-11,3,0,289.14
O100157,C16278,P208373,Home,31.13,0,1,Credit Card,18-09-2023,21-09-2023,North,No,,,31.13,3.29,5.43,28,Male,2023-09,3,0,31.13
O100158,C10200,P230283,Sports,267.28,0.2,1,PayPal,28-02-2025,04-03-2025,Central,No,,,213.82,7.25,56.9,52,Male,2025-02,4,0,213.82
O100159,C15959,P229415,Electronics,499.11,0.05,1,Credit Card,14-07-2025,18-07-2025,Central,No,,,474.15,8.66,48.24,45,Male,2025-07,4,0,474.15
O100160,C14875,P226414,Electronics,296.62,0.2,2,Wallet,27-02-2024,02-03-2024,North,No,,,474.59,8.71,48.24,36,Female,2024-02,4,0,474.59
O100161,C17073,P214378,Grocery,52.12,0,1,COD,09-07-2025,13-07-2025,South,No,,,52.12,6.56,-2.39,50,Female,2025-07,4,0,52.12
O100162,C13104,P218336,Sports,31.3,0,1,Credit Card,01-01-2024,05-01-2024,West,No,,,31.3,4.71,4.68,32,Male,2024-01,4,0,31.3
O100163,C17215,P204700,Home,145.09,0.1,1,Debit Card,10-11-2024,13-11-2024,Central,No,,,130.58,8.51,28.05,38,Male,2024-11,3,0,130.58
O100164,C14598,P213901,Beauty,26.03,0,1,Debit Card,08-04-2024,12-04-2024,West,No,,,26.03,7.52,4.19,44,Male,2024-04,4,0,26.03
O100165,C12454,P224838,Toys,10.19,0.2,1,Credit Card,12-02-2024,18-02-2024,West,No,,,8.15,3.7,-0.44,21,Male,2024-02,6,0,8.15
O100166,C13645,P222597,Toys,15.07,0,3,UPI,09-09-2024,12-09-2024,Central,No,,,45.21,6.94,11.14,26,Male,2024-09,3,0,45.21
O100167,C15847,P233428,Fashion,18.2,0.05,2,PayPal,26-04-2025,02-05-2025,West,No,,,34.58,5.84,6.26,22,Female,2025-04,6,0,34.58
O100168,C10804,P240149,Home,158.84,0.1,1,Credit Card,15-10-2023,19-10-2023,West,No,,,142.96,6.88,33.15,67,Female,2023-10,4,0,142.96
O100169,C16242,P235687,Beauty,16.27,0,2,Debit Card,18-07-2025,23-07-2025,South,No,,,32.54,4.52,10.12,39,Female,2025-07,5,0,32.54
